Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Hit
0.386,0.754,0.0,-6.428,1.0,0.0468,0.0249,0.0,0.102,0.6859999999999999,173.96,0.0
0.67,0.84,2.0,-5.746,0.0,0.0501,0.26899999999999996,0.0,0.20600000000000002,0.562,126.031,0.0
0.687,0.9740000000000001,10.0,-2.28,1.0,0.0435,0.0519,0.0,0.22399999999999998,0.96,104.833,0.0
0.526,0.591,2.0,-7.645,1.0,0.0353,0.568,2.61e-06,0.0959,0.6559999999999999,92.241,0.0
0.56,0.19699999999999998,6.0,-12.543,1.0,0.0448,0.87,6.27e-05,0.0908,0.444,72.426,0.0
0.0,0.156,7.0,-26.968000000000004,1.0,0.0,0.92,1.65e-05,0.0,0.0,0.0,0.0
0.23600000000000002,0.237,9.0,-18.35,1.0,0.0584,0.924,0.9520000000000001,0.374,0.187,138.041,0.0
0.45,0.33,2.0,-13.577,1.0,0.0385,0.9440000000000001,0.861,0.106,0.84,103.742,0.0
0.621,0.716,9.0,-6.294,0.0,0.0258,0.000339,0.0117,0.0554,0.833,135.016,0.0
0.603,0.779,0.0,-5.377000000000001,1.0,0.0368,0.29100000000000004,3.09e-06,0.14800000000000002,0.6459999999999999,112.089,0.0
0.307,0.518,10.0,-9.875,1.0,0.0837,0.6970000000000001,1.62e-06,0.8320000000000001,0.35600000000000004,163.447,0.0
0.405,0.0243,4.0,-19.805999999999997,0.0,0.0505,0.9540000000000001,0.46,0.14400000000000002,0.0716,146.237,0.0
0.436,0.997,4.0,-3.44,1.0,0.179,2.4100000000000003e-05,0.285,0.389,0.0582,77.473,0.0
0.5710000000000001,0.735,11.0,-5.632000000000001,0.0,0.0743,0.0329,0.000264,0.215,0.557,106.811,0.0
0.5660000000000001,0.904,11.0,-6.0360000000000005,1.0,0.0767,0.0088,0.0,0.34600000000000003,0.591,127.99,0.0
0.23,0.298,5.0,-14.786,1.0,0.033,0.777,0.6809999999999999,0.36200000000000004,0.111,97.15700000000001,0.0
0.5820000000000001,0.722,1.0,-6.6129999999999995,0.0,0.0455,0.0554,7.41e-06,0.11800000000000001,0.15,161.97799999999998,0.0
0.53,0.893,9.0,-4.1739999999999995,1.0,0.0342,0.0601,0.0,0.0813,0.733,127.919,0.0
0.5539999999999999,0.0893,2.0,-21.355,1.0,0.0525,0.257,0.8140000000000001,0.109,0.142,171.283,0.0
0.49700000000000005,0.93,5.0,-4.022,1.0,0.11,0.054000000000000006,1.36e-05,0.16399999999999998,0.726,172.2,0.0
0.166,0.965,0.0,-4.736000000000001,1.0,0.109,7.96e-06,0.929,0.6,0.0324,114.193,0.0
0.603,0.544,7.0,-10.769,1.0,0.0318,0.201,0.0,0.114,0.479,80.872,0.0
0.65,0.249,7.0,-15.272,1.0,0.0302,0.43200000000000005,0.00237,0.128,0.154,132.046,0.0
0.48100000000000004,0.782,8.0,-8.145,1.0,0.0717,0.0102,1.77e-06,0.127,0.648,169.985,0.0
0.555,0.484,1.0,-13.591,0.0,0.0354,0.56,0.8109999999999999,0.0457,0.872,98.26799999999999,0.0
0.28,0.862,7.0,-9.315,1.0,0.0684,0.00201,0.0151,0.053,0.621,129.97,0.0
0.494,0.9570000000000001,7.0,-4.055,1.0,0.0625,0.00065,0.00703,0.125,0.591,143.944,0.0
0.528,0.809,10.0,-12.749,0.0,0.496,0.345,0.0,0.49700000000000005,0.37,77.219,0.0
0.591,0.342,4.0,-8.3,1.0,0.0319,0.93,2.3899999999999998e-05,0.0968,0.179,84.678,0.0
0.5,0.5920000000000001,7.0,-6.146,1.0,0.0923,0.0465,0.0,0.182,0.757,133.523,0.0
0.514,0.253,5.0,-18.616,1.0,0.0352,0.8909999999999999,0.615,0.0909,0.606,130.92600000000002,0.0
0.782,0.474,4.0,-11.05,0.0,0.0482,0.7190000000000001,3.37e-05,0.0772,0.584,117.553,0.0
0.5770000000000001,0.773,2.0,-9.454,1.0,0.0688,0.00646,0.506,0.14400000000000002,0.447,92.115,0.0
0.682,0.14300000000000002,7.0,-19.634,1.0,0.0496,0.789,0.9009999999999999,0.113,0.368,82.352,0.0
0.5710000000000001,0.866,9.0,-4.524,1.0,0.0479,0.000185,3.45e-05,0.303,0.657,111.38799999999999,0.0
0.6509999999999999,0.17600000000000002,0.0,-17.246,1.0,0.0313,0.855,0.0903,0.0905,0.258,99.954,0.0
0.736,0.41100000000000003,9.0,-10.493,0.0,0.0367,0.693,0.0269,0.21,0.5429999999999999,100.074,0.0
0.713,0.257,4.0,-16.905,1.0,0.0515,0.812,0.40299999999999997,0.27699999999999997,0.0982,93.95200000000001,0.0
0.774,0.701,0.0,-5.795,1.0,0.122,0.19699999999999998,0.0,0.0693,0.9209999999999999,140.075,0.0
0.35700000000000004,0.611,7.0,-9.306000000000001,1.0,0.0321,0.127,0.00186,0.0929,0.28,82.414,0.0
0.43,0.5329999999999999,11.0,-7.555,1.0,0.0708,0.748,0.0,0.205,0.525,126.265,0.0
0.736,0.38,2.0,-9.523,1.0,0.0298,0.0407,5.4600000000000006e-05,0.11,0.22899999999999998,108.999,0.0
0.728,0.5,10.0,-13.948,0.0,0.114,0.168,0.0,0.0487,0.9620000000000001,87.366,0.0
0.613,0.887,7.0,-5.989,1.0,0.0263,0.0643,2.9199999999999998e-05,0.168,0.76,132.834,0.0
0.66,0.44,0.0,-12.958,1.0,0.0431,0.306,0.000251,0.0853,0.484,132.937,0.0
0.392,0.915,1.0,-4.99,1.0,0.128,6.38e-06,0.264,0.11900000000000001,0.6970000000000001,123.756,0.0
2002.0,0.7340000000000001,0.7090000000000001,1.0,-5.772,1.0,0.0422,0.00488,0.0875,0.146,0.8420000000000001,127.264
0.659,0.794,0.0,-11.439,1.0,0.0395,0.17800000000000002,0.76,0.541,0.98,141.029,0.0
0.535,0.597,11.0,-11.888,1.0,0.025,0.29,0.00162,0.5770000000000001,0.706,96.756,0.0
0.16899999999999998,0.995,10.0,-5.433,1.0,0.165,7.57e-05,0.0629,0.135,0.0326,134.48,0.0
0.309,0.134,0.0,-21.149,1.0,0.0751,0.981,0.922,0.113,0.106,184.415,0.0
0.5379999999999999,0.674,1.0,-11.307,0.0,0.0398,0.414,0.00183,0.34600000000000003,0.6559999999999999,113.15100000000001,0.0
0.521,0.5710000000000001,4.0,-6.153,1.0,0.0637,0.606,0.0,0.10800000000000001,0.42,121.859,0.0
0.484,0.7040000000000001,7.0,-9.607999999999999,1.0,0.0783,0.192,2.2e-05,0.71,0.672,140.63299999999998,0.0
0.742,0.225,10.0,-16.04,0.0,0.8809999999999999,0.935,0.0,0.177,0.708,119.251,0.0
0.318,0.258,8.0,-11.981,1.0,0.0327,0.6679999999999999,2.7000000000000002e-05,0.0754,0.265,142.616,0.0
0.312,0.976,0.0,-5.324,1.0,0.09300000000000001,9.59e-06,0.861,0.0945,0.0692,122.755,0.0
0.637,0.748,1.0,-6.372000000000001,1.0,0.0314,0.307,0.0,0.235,0.8220000000000001,77.977,0.0
0.812,0.7709999999999999,7.0,-4.579,1.0,0.213,0.0269,0.0,0.0954,0.643,95.001,0.0
0.8690000000000001,0.753,11.0,-7.126,0.0,0.335,0.0378,0.0,0.46299999999999997,0.8809999999999999,118.51899999999999,0.0
0.494,0.631,4.0,-15.776,1.0,0.17600000000000002,0.6659999999999999,0.12300000000000001,0.536,0.28800000000000003,94.679,0.0
0.193,0.28600000000000003,10.0,-12.515999999999998,1.0,0.0366,0.628,0.856,0.415,0.7120000000000001,157.727,0.0
0.161,0.09,11.0,-17.963,1.0,0.0357,0.98,0.972,0.122,0.0662,72.83,0.0
0.48,0.852,0.0,-10.815999999999999,0.0,0.0661,0.158,0.633,0.102,0.509,127.664,0.0
0.6709999999999999,0.88,6.0,-6.157,1.0,0.0534,0.005229999999999999,0.121,0.165,0.402,144.80100000000002,0.0
0.47700000000000004,0.24100000000000002,10.0,-14.11,1.0,0.0286,0.5760000000000001,3.04e-06,0.16399999999999998,0.265,112.36200000000001,0.0
0.626,0.701,7.0,-6.289,1.0,0.0349,0.009470000000000001,0.11,0.608,0.857,155.14700000000002,0.0
0.42100000000000004,0.5479999999999999,8.0,-6.254,1.0,0.0315,0.00135,0.0923,0.111,0.281,140.12,0.0
0.537,0.596,11.0,-13.630999999999998,1.0,0.0469,4.9e-05,1.4e-06,0.409,0.519,144.167,0.0
0.795,0.381,10.0,-11.036,1.0,0.0301,0.19399999999999998,0.0107,0.11599999999999999,0.594,92.971,0.0
0.536,0.272,9.0,-14.857999999999999,1.0,0.0281,0.511,0.873,0.0677,0.301,92.845,0.0
0.672,0.82,11.0,-4.456,1.0,0.0459,0.0368,0.000188,0.184,0.43799999999999994,120.005,0.0
0.41600000000000004,0.17,9.0,-14.515,1.0,0.0303,0.384,0.0,0.0939,0.177,115.01700000000001,0.0
0.524,0.467,5.0,-12.017999999999999,1.0,0.031,0.41600000000000004,0.00981,0.111,0.825,89.475,0.0
0.857,0.925,11.0,-3.188,0.0,0.11699999999999999,0.105,0.0,0.0582,0.9640000000000001,130.026,0.0
0.601,0.6609999999999999,6.0,-7.072,1.0,0.0242,0.34700000000000003,0.0,0.275,0.617,98.046,0.0
0.695,0.42200000000000004,7.0,-11.672,0.0,0.0337,0.0442,0.00762,0.111,0.584,105.73200000000001,0.0
0.547,0.40399999999999997,0.0,-10.544,1.0,0.135,0.6890000000000001,0.00826,0.912,0.505,153.67700000000002,0.0
0.7609999999999999,0.836,5.0,-6.2589999999999995,0.0,0.0347,0.0196,1.66e-05,0.0632,0.93,113.947,0.0
0.7979999999999999,0.629,1.0,-7.267,1.0,0.0789,0.000617,0.878,0.0585,0.56,130.006,0.0
0.0857,0.20800000000000002,4.0,-13.515999999999998,0.0,0.0367,0.89,0.884,0.111,0.0601,62.708,0.0
0.657,0.52,5.0,-13.885,0.0,0.217,0.6609999999999999,1.41e-06,0.278,0.963,141.445,0.0
0.7020000000000001,0.449,7.0,-14.552,1.0,0.0335,0.18100000000000002,0.8740000000000001,0.0627,0.684,127.542,0.0
0.214,0.9329999999999999,2.0,-5.391,0.0,0.0628,2.49e-05,0.9570000000000001,0.165,0.138,136.55200000000002,0.0
0.8340000000000001,0.878,8.0,-9.484,1.0,0.15,0.0461,0.0,0.33399999999999996,0.418,102.848,0.0
0.32,0.978,7.0,-2.278,1.0,0.161,0.152,3.97e-06,0.785,0.556,92.54700000000001,0.0
0.626,0.385,0.0,-11.344000000000001,1.0,0.0836,0.943,9.329999999999999e-05,0.312,0.642,85.36200000000001,0.0
